8G	language_code	zh_CN	zh_TW	en_US	ko_KR	vi_VN	th_TH	in_ID	ja_JP	ru_RU	pt_PT	es_ES	ar_IL	tr_TR	fr_FR	de_DE	it_IT	fa_IR	ms_MY	uk_UA
Label	turn_tip_5	不在电脑前，手机随时远程做日常，不废手机不耗电	無論身在何處，手機隨時遠端完成日常任務，不廢手機不耗電	Play from anywhere and anytime with full access to your LDPlayer.	언제 어디서든 원격으로 액세스하여 파일을 보거나 게임을 실행하세요	Chạy daily game, đâu cần phải ngồi trước máy tính	สามารถควบคุมคอมได้อย่างอิสระ ไม่ต้องนั่งอยู่หน้าคอม	Play from anywhere and anytime with full access to your LDPlayer.	いつでも、どこでもリモートでデイリークエスト	Играть везде и вседа с полным доступом к вашему LDPlayer	Jogue de qualquer lugar e a qualquer hora com acesso total ao seu LDPlayer.	Juega desde cualquier lugar y en cualquier momento con acceso completo a tu LDPlayer.	Play from anywhere and anytime with full access to your LDPlayer.	Play from anywhere and anytime with full access to your LDPlayer.	Play from anywhere and anytime with full access to your LDPlayer.	Play from anywhere and anytime with full access to your LDPlayer.	Play from anywhere and anytime with full access to your LDPlayer.	Play from anywhere and anytime with full access to your LDPlayer.	Play from anywhere and anytime with full access to your LDPlayer.	Play from anywhere and anytime with full access to your LDPlayer.
Label	turn_tip_6	深度融合云技术，电脑秒变N台云手机，24h在线玩	深度融合雲端技術，電腦秒變N臺模擬器設備，24H線上體驗遊戲	Enhance remote your gameplay with our advanced cloud technology	모든 Android 기기와 iOS 화면 공유 기능을 제공합니다	Công nghệ Cloud tiên tiến, biến máy tính thành cloud phone chỉ trong 1 nốt nhạc, giúp cày game xuyên 24h	สามารถควบคุมคอมด้วยมือถือได้อย่างอิสระโดยไม่ต้องนั่งอยู่หน้าคอม 	Enhance remote your gameplay with our advanced cloud technology	最新のクラウド技術、24時間オンラインプレイが可能	Улучшить удаленный игровой процесс с помощью нашей  облачной технологии	Aprimore seu jogo remotamente com nossa avançada tecnologia em nuvem	Mejora la jugabilidad remota con nuestra avanzada tecnología en la nube	Enhance remote your gameplay with our advanced cloud technology	Enhance remote your gameplay with our advanced cloud technology	Enhance remote your gameplay with our advanced cloud technology	Enhance remote your gameplay with our advanced cloud technology	Enhance remote your gameplay with our advanced cloud technology	Enhance remote your gameplay with our advanced cloud technology	Enhance remote your gameplay with our advanced cloud technology	Enhance remote your gameplay with our advanced cloud technology
Label	Title_wndTitle_playerx	LDPlayerX下载器	LDPlayerX下載器	LDPlayerX Installer	LDPlayerX 설치 관리자	Trình tải LDPlayerX	LDPlayerX Installer	Penginstal LDPlayer	LDPlayerXインストーラー	Установщик LDPlayer	Instalador de LDPlayer	LDPlayer Instalador	مثبت LDPlayer	LDPlayer Yükleyici	Installer LDPlayer	LDPlayer-Downloader	LDPlayer Installer	LDPlayer نصاب	LDPlayer Installer	LDPlayer Installer
Label	MsgBox_exit_playerx	是否停止安装LDPlayerX？	確定要取消安裝LDPlayerX？	Do you want to cancel the installation?	LDPlayer 설치를 취소하시겠습니까?	Hủy cài đặt LDPlayerX?	ยืนยันที่จะหยุดการติดตั้ง LDPlayerX？	Apakah Anda ingin menghentikan penginstalan?	インストールを中止しますか？	Вы уверены, что прекратить установку?	Quer parar a instalação de emulador?	¿Deseas cancelar la descarga del emulador?	هل تريد إيقاف التثبيت؟	Kurulumu durdurmak istiyor musunuz?	Voulez-vous arrêter l'installation?	Bist du sicher, die Installation des Emulators zu stoppen?	Vuoi interrompere l'installazione del simulatore?	آیا می خواهید نصب را متوقف کنید؟	Adakah anda ingin menghentikan pemasangan simulator?	Чи бажаєте зупинити встановлення симулятора?
Label	customer_connect	联系客服	聯繫我們	Customer service	고객센터	Fanpage	ติดต่อบริการลูกค้า	Customer service	お問い合わせ	Свяжитесь с нами	Atendimento ao Cliente	Servicio al Cliente	الاتصال بخدمة العملاء	Customer service	Customer service	Customer service	Customer service	Customer service	Customer service	Customer service
Label	install_error_tip2	安装失败，请尝试安装至其他磁盘，或暂时关闭杀毒软件后重新安装	安裝失敗，請嘗試安裝至其他磁碟，或者暫時關閉殺毒軟體後重新安裝。	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall	설치 도중에 문제가 발생하였습니다. 설치 경로를 다른 드라이브로 변경하시거나 백신프로그램을 끄고 다시 시도해 주세요	Lỗi cài đặt! Vui lòng thử chỉnh sang ổ khác để cài đặt lại, hoặc tạm tắt phần mềm diệt virus sau đó thử lại	การติดตั้งล้มเหลว โปรดลองติดตั้งไปที่ดิส์กอื่นหรือปิดโปรแกรมไวรัสก่อนการติดตั้ง	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall	インストールエラー、インストール先を変更するか、一時的にウイルス対策ソフトウェアを無効にして再インストールしてください	Установка не удалась. Попробуйте изменить папку установки или временно отключите антивирус и переустановите эмулятор. 	A instalação falhou, tente alterar o caminho de instalação ou desative temporariamente o seu antivírus e reinstale. 	Instalación fallida. Intenta cambiar la carpeta de instalación o desactiva temporalmente el software antivirus antes de volver a instalar.	فشل التثبيت، الرجاء محاولة تغيير قرص التثبيت أو إغلاق برنامج مكافحة الفيروسات مؤقتًا ثم إعادة التثبيت	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall	Installation failed, please try to change your install path or temporarily disable your antivirus and reinstall
Label	customerLink	https://discord.com/invite/9BanqRjUtc	https://www.facebook.com/tw.ldplayer/	https://discord.gg/xHzXkgXw4X	https://cafe.naver.com/ldplayer	https://www.facebook.com/vi.ldplayer	https://www.facebook.com/th.ldplayer	https://discord.com/invite/9BanqRjUtc	https://discord.com/invite/GeE2Gu9ruk	https://vk.com/ldplayer	https://www.facebook.com/pt.ldplayer/	https://www.facebook.com/es.ldplayer/	https://discord.com/invite/9BanqRjUtc	https://discord.com/invite/9BanqRjUtc	https://discord.com/invite/9BanqRjUtc	https://discord.com/invite/9BanqRjUtc	https://discord.com/invite/9BanqRjUtc	https://discord.com/invite/9BanqRjUtc	https://discord.com/invite/9BanqRjUtc	https://discord.com/invite/9BanqRjUtc
Label	retry	重试	重試	Retry	다시 시도	Thử lại	ลองอีกครั้ง	Retry	再試行	Повторить попытку	Repetir	Retry	إعادة المحاولة	Retry	Retry	Retry	Retry	Retry	Retry	Retry
Label	downloading_error_tip	连接服务器超时，下载中断	連接伺服器超時，下載中斷	Sever connection timed out, download is interrupted 	서버 연결 시간이 초과되어 다운로드가 중단되었습니다	Kết nối server không thành công, tạm dừng tải	เชื่อมต่อเซิร์ฟเวอร์หมดเวลา การดาวน์โหลดถูกขัดจังหวะ	Sever connection timed out, download is interrupted 	サーバーへの接続がタイムアウトし、ダウンロードが中断された	Время соединения с сервером истекло, и загрузка прервалась	Conexão com o servidor expirou, download interrompido	Sever connection timed out, download is interrupted 	انتهت مهلة الاتصال بالخادم وتم مقاطعة التنزيل	Sever connection timed out, download is interrupted 	Sever connection timed out, download is interrupted 	Sever connection timed out, download is interrupted 	Sever connection timed out, download is interrupted 	Sever connection timed out, download is interrupted 	Sever connection timed out, download is interrupted 	Sever connection timed out, download is interrupted 
Label	MsgBox_xp	此软件版本与正在运行的windows版本不兼容\r\n请更新为windows 7以上版本后重新安装	此應用程式與當前Windows規格版本不相容\r\n請更新為Windows7以上作業系統後重新安裝	This version is not compatible with current Windows system\r\nPlease update to versions higher than Win 7 and reinstall	이 소프트웨어는 Windows 버전과 호환되지 않습니다. \r\nWindows 7 이상 버전으로 업데이트 후 다시 시도해 주세요	Phiên bản LDPlayer này không tương thích với Windows hiện tại\r\nVui lòng cập nhật sang Windows 7 hoặc trở lên để tiếp tục cài đặt lại	ซอฟต์แวร์เวอร์ชันนี้เข้ากันไม่ได้กับเวอร์ชัน Windows ที่ทำงานอยู่\r\nโปรดอัปเดตเป็น Windows 7 หรือสูงกว่าแล้วติดตั้งใหม่	Versi perangkat lunak ini tidak kompatibel dengan versi Windows yang sedang berjalan.\r\nHarap perbarui ke versi Windows 7 atau yang lebih tinggi sebelum menginstal ulang.	このソフトのバージョンは現在のWindowsバージョンと互換性がありません。\r\nWindows 7以上にアップデートして再インストールしてください	Эта версия программы несовместима с работающей версией Windows.\r\nОбновите систему до Windows 7 или выше и переустановите снова.	Esta versão do software não é compatível com a versão do Windows em execução\r\nPor favor, atualize para o Windows 7 ou superior e reinstale	Esta versión de software no es compatible con la versión de Windows que está en ejecución. Por favor, actualiza a una versión de Windows 7 o superior y vuelve a instalar.	إصدار البرنامج هذا غير متوافق مع إصدار Windows قيد التشغيل\r\nالرجاء التحديث إلى Windows 7 أو الإصدارات الأحدث وإعادة تثبيته	Bu yazılım sürümü, çalışmakta olan Windows sürümü ile uyumsuzdur.\r\nLütfen yeniden yüklemek için Windows 7 veya üzeri bir sürüme güncelleyin.	La version de ce logiciel n'est pas compatible avec la version de Windows en cours d'exécution.\r\nVeuillez mettre à jour vers une version de Windows 7 ou supérieure avant de réinstaller.	Diese Softwareversion ist nicht mit der aktuellen Windows-Version kompatibel.\r\nBitte aktualisieren Sie auf Windows 7 oder höher, bevor Sie neu installieren.	Questa versione del software non è compatibile con la versione di Windows attualmente in esecuzione.\r\nSi prega di aggiornare a Windows 7 o versioni successive prima di procedere con la reinstallazione.	این نسخه نرم‌افزار با نسخه جاری ویندوز سازگار نیست.\r\nلطفاً پیش از نصب مجدد، به ویندوز 7 یا نسخه‌های بالاتر ارتقا دهید.	Versi perisian ini tidak serasi dengan versi Windows yang sedang berjalan.\r\nSila kemas kini ke Windows 7 atau versi yang lebih tinggi sebelum memasang semula.	Ця версія програмного забезпечення несумісна з поточною версією Windows, що працює.\r\nБудь ласка, оновіть до Windows 7 або вище перед повторною установкою.
Label	MsgBox_32	当前模拟器不兼容 32 位操作系统，请下载兼容版本	當前模擬器與32位元作業系統不相容，請下載相容版本模擬器	This version is not compatible with 32-bit system, please download the recommended version	이 LDPlayer 버전은 Windows 64비트에만 설치됩니다. Windows 32비트와 호환되는 LDPlayer 버전을 다운로드해 주세요	Phiên bản LDPlayer hiện tại không tương thích với Windows 32-bit. Vui lòng tải LDPlayer phiên bản tương thích	โปรแกรมจำลองปัจจุบันเข้ากันไม่ได้กับระบบปฏิบัติการ 32 บิต โปรดดาวน์โหลดเวอร์ชันที่รองรับ	Emulator saat ini tidak kompatibel dengan sistem operasi 32 bit, silakan unduh versi yang kompatibel.	現在のLDPLayerーは32bitのオペレーティングシステムと互換性がありません。互換性のあるバージョンをダウンロードしてください	Текущий эмулятор несовместим с 32-битными операционными системами. Загрузите совместимую версию.	O emulador atual não é compatível com o sistema operacional de 32 bits, por favor, baixe a versão compatível	El emulador actual no es compatible con sistemas operativos de 32 bits. Por favor, descarga una versión compatible.	المحاكي الحالي غير متوافق مع أنظمة التشغيل 32 بت، يرجى تنزيل إصدار متوافق	Mevcut emulator, 32 bit işletim sistemleri ile uyumsuzdur, lütfen uyumlu bir sürüm indirin.	L'émulateur actuel n'est pas compatible avec les systèmes d'exploitation 32 bits. Veuillez télécharger une version compatible.	Der aktuelle Emulator ist nicht mit 32-Bit-Betriebssystemen kompatibel. Bitte laden Sie eine kompatible Version herunter.	L'attuale emulatore non è compatibile con sistemi operativi a 32 bit. Si prega di scaricare una versione compatibile.	این شبیه‌ساز کننده در حال حاضر با سیستم‌عامل ۳۲ بیت سازگار نیست. لطفاً نسخه‌ای سازگار را دانلود کنید.	Emulator semasa tidak serasi dengan sistem operasi 32 bit. Sila muat turun versi yang serasi.	Поточний емулятор несумісний з 32-бітною операційною системою. Будь ласка, завантажте сумісну версію.
Label	jump_download	前往下载	前往下載	Download	다운로드	Tải ngay	ดาวน์โหลด	Pergi ke unduhan	ダウンロードへ	Загрузить	Ir para baixar	Ir a la descarga	الانتقال للتنزيل	İndirme için git	Aller au téléchargement	Zum Download gehen	Vai al download	به دانلود برو	Pergi ke muat turun	Перейти до завантаження
Label	do_exit	退出	關閉	Exit	종료	Thoát	ออก	Keluar	終了	Выход	Sair	Salir	الخروج	Çıkış	Quitter	Beenden	Esci	خروج	Keluar	Вийти
Label	change_path_tip	如果更改安装路径，将无法读取本地已安装的雷电模拟器的数据。您确定要更改吗？	如果更新安裝路徑，將無法讀取本地已安裝的雷電模擬器數據。需要更改嗎？	Installed data can not be read if you change the installation path, are you sure you want to change the path?	설치 경로를 변경하면 기존 LDPlayer의 데이터를 불러올 수 없습니다. 계속하시겠습니까?	Nếu sửa lộ trình cài đặt, sẽ không thể đọc dữ liệu của phiên bản LDPlayer đã được cài đặt trước đây tại lộ trình khác trên máy tính. Xác nhận tùy chỉnh?	หากคุณเปลี่ยนเส้นทางการติดตั้ง ข้อมูลของโปรแกรมจำลองที่ติดตั้ง<n>ในเครื่องจะไม่ถูกอ่าน คุณแน่ใจหรือไม่ว่าต้องการเปลี่ยน	Jika Anda mengubah jalur instalasi, Anda tidak akan dapat membaca data emulator Tencent yang telah diinstal secara lokal. Apakah Anda yakin ingin mengubahnya?	インストールパスを変更すると、ローカルにインストールされているLDPlayerのデータを読み取ることができなくなります。変更しますか？	Если вы измените путь установки, данные локально установленного эмулятора LDPlayer не будут считаны. Вы уверены, что хотите изменить его?	Se você alterar o caminho de instalação, não será possível ler os dados do emulador LDPlayer instalado localmente. Tem certeza de que deseja alterar?	Si cambias la ruta de instalación, no podrás leer los datos locales ya instalados de LDPlayer. ¿Todavía deseas cambiarla?	إذا قمت بتغيير مسار التثبيت، فلن تتم قراءة بيانات المحاكي المثبت محليًا السابقة. هل أنت متأكد أنك تريد تغييره؟	Eğer kurulum yolu değiştirilirse, yerel olarak yüklenmiş Tencent emulator'ün verilerini okuyamayacaksınız. Değiştirmek istediğinizden emin misiniz?	Si vous modifiez le chemin d'installation, les données de l'émulateur Tencent déjà installé localement ne pourront pas être lues. Êtes-vous sûr de vouloir effectuer cette modification ?	Wenn Sie den Installationspfad ändern, können die Daten des lokal installierten Thunder Emulators nicht mehr gelesen werden. Sind Sie sicher, dass Sie das ändern möchten?	Se si modifica il percorso di installazione, non sarà possibile leggere i dati dell'emulatore Thunder già installato localmente. Sei sicuro di voler procedere con la modifica?	اگر مسیر نصب را تغییر دهید، دیگر اطلاعات شبیه‌ساز Thunder که به صورت محلی نصب شده است، قابل خواندن نخواهد بود. آیا مطمئن هستید که می‌خواهید تغییر دهید؟	Jika menukar laluan pemasangan, data emulator Thunder yang telah dipasang di tempatan tidak dapat dibaca. Adakah anda pasti mahu menukar?	Якщо змінити шлях встановлення, дані емулятора Thunder, вже встановлені локально, не буде можна прочитати. Ви впевнені, що хочете змінити?
Label	path_noice	安装建议	安裝建議	Installation tips	주의	Gợi ý	คำแนะนำ	Saran instalasi	推奨事項	Рекомендации по установке	Recomendação de instalação	Consejo de instalación	اقتراح التثبيت	Kurulum önerileri	Conseils d'installation	Installationshinweis	Consigli per l'installazione	پیشنهاد نصب	Cadangan pemasangan	Рекомендації щодо установки
